wait_time,generation_time,queue_length,clip_self_similarity
0.0,16.039149284362793,0,89.12715911865234
0.012486934661865234,5.004988193511963,1,100.17655944824219
5.0590550899505615,4.8809709548950195,2,99.2393798828125
4.947558879852295,4.93063497543335,3,98.20217895507812
9.919171810150146,4.904720306396484,4,101.2243423461914
9.953153133392334,4.931295156478882,5,77.16465759277344
14.92529582977295,4.87202787399292,6,103.50667572021484
14.8794686794281,2.9410722255706787,7,105.81571197509766
17.860222339630127,2.7505860328674316,8,105.89623260498047
15.71803593635559,4.8644139766693115,9,101.10039520263672
20.625800848007202,4.843837261199951,10,105.49937438964844
